sfxUp sfyUp sfxLow sfyLow time
240.877 -153104 -48.169 153104 0.0534
241.022 -153111 -48.5804 153111 0.0535
241.497 -153112 -48.5067 153112 0.0536
241.698 -153107 -48.9392 153107 0.0537
242.085 -153096 -48.8446 153096 0.0538
242.342 -153079 -49.2873 153079 0.0539
242.638 -153056 -49.1795 153056 0.054
242.947 -153027 -49.6244 153027 0.0541
243.16 -152992 -49.5101 152992 0.0542
243.513 -152952 -49.9515 152952 0.0543
243.642 -152905 -49.84 152905 0.0544
244.039 -152852 -50.2702 152852 0.0545
244.087 -152792 -50.17 152792 0.0546
244.52 -152727 -50.5828 152727 0.0547
244.491 -152656 -50.4975 152656 0.0548
244.958 -152578 -50.8846 152578 0.0549
244.861 -152495 -50.8164 152495 0.055
245.359 -152405 -51.174 152405 0.0551
245.194 -152309 -51.1279 152309 0.0552
245.712 -152206 -51.453 152206 0.0553
245.485 -152097 -51.433 152097 0.0554
246.019 -151982 -51.7278 151982 0.0555
245.735 -151861 -51.7354 151861 0.0556
246.28 -151733 -51.9959 151733 0.0557
245.942 -151599 -52.0329 151599 0.0558
246.496 -151459 -52.2594 151459 0.0559
246.11 -151312 -52.3217 151312 0.056
246.663 -151158 -52.514 151158 0.0561
246.235 -150998 -52.6002 150998 0.0562
246.787 -150832 -52.7598 150832 0.0563
246.32 -150659 -52.868 150659 0.0564
246.861 -150480 -52.9969 150480 0.0565
246.358 -150294 -53.1249 150294 0.0566
246.885 -150102 -53.2261 150102 0.0567
246.352 -149902 -53.3716 149902 0.0568
246.858 -149697 -53.4496 149697 0.0569
246.3 -149484 -53.6081 149484 0.057
246.783 -149265 -53.6639 149265 0.0571
246.199 -149040 -53.8318 149040 0.0572
246.652 -148808 -53.8688 148808 0.0573
246.054 -148568 -54.0407 148568 0.0574
246.474 -148323 -54.0637 148323 0.0575
245.857 -148070 -54.2379 148070 0.0576
246.242 -147811 -54.2488 147811 0.0577
245.615 -147545 -54.4207 147545 0.0578
245.961 -147272 -54.4234 147272 0.0579
245.324 -146992 -54.5925 146992 0.058
245.628 -146706 -54.5918 146706 0.0581
