Hx Hy ThetaBW parHx parHy parThetaBW time H
4.138267747448922 -7.84208634173314 0.749522193404336 4.25 -5.5 0.0 4.2 8.86699374877266
4.071167414389984 -7.9019614542696415 0.7961904743467814 4.25 -5.5 0.0 4.3 8.889060633202702
4.089986735921524 -7.9221316376613755 0.8486442991565379 4.25 -5.5 0.0 4.4 8.915613337535971
4.074575036203118 -7.958311562479147 0.8880389899206 4.25 -5.5 0.0 4.5 8.94074295856552
3.991677405243846 -8.022341313569136 0.9141950618808166 4.25 -5.5 0.0 4.6 8.960549573487802
4.039836045195031 -8.028587038382987 0.9479811531052567 4.25 -5.5 0.0 4.7 8.98768519169137
3.9732210054124115 -8.083499618390032 0.9645324549248377 4.25 -5.5 0.0 4.8 9.007188864366185
3.9073659622612356 -8.139654311122001 0.9747563285686296 4.25 -5.5 0.0 4.9 9.02892469054896
3.9314282682087622 -8.144730249040421 0.9895045032347087 4.25 -5.5 0.0 5.0 9.04393493219102
3.8860996806591084 -8.192990195067074 0.9923394568844875 4.25 -5.5 0.0 5.1 9.067902682786357
3.9159154646941605 -8.209166304258254 1.0002534762474202 4.25 -5.5 0.0 5.2 9.095317770017713
3.7104386444849666 -8.342211822736315 0.9787278708339002 4.25 -5.5 0.0 5.3 9.130161719810278
3.723258650536251 -8.378825837980639 0.9795446003897206 4.25 -5.5 0.0 5.4 9.168826391747473
3.6840847255343503 -8.430482827454043 0.9706374033910038 4.25 -5.5 0.0 5.5 9.200300047765454
3.6317061422834964 -8.485020803951237 0.9590985875923934 4.25 -5.5 0.0 5.6 9.229564862299032
3.6398101119187283 -8.523292488630858 0.9517917308781846 4.25 -5.5 0.0 5.7 9.267941114270043
3.5860690658334082 -8.593950298608942 0.9355590021040033 4.25 -5.5 0.0 5.8 9.312135795825146
3.6320945998647773 -8.604837339032395 0.9268877795865481 4.25 -5.5 0.0 5.9 9.339985910780218
3.5476463359875323 -8.683681305047662 0.9048832510943406 4.25 -5.5 0.0 6.0 9.380411266723865
3.3636953648093706 -8.790782279024144 0.8682901585113459 4.25 -5.5 0.0 6.1 9.412348250274475
3.4135723379784473 -8.82627721879527 0.8556361387021074 4.25 -5.5 0.0 6.2 9.463384471194013
3.235331852937592 -8.9376744867121 0.8188317474773572 4.25 -5.5 0.0 6.3 9.505230004006057
3.2500789450095104 -8.967009672787906 0.8004115023065397 4.25 -5.5 0.0 6.4 9.537833906116525
3.181952096865214 -9.033657236784007 0.776887738177036 4.25 -5.5 0.0 6.5 9.577671022667515
3.269283094041464 -9.04531172747317 0.7721393739503192 4.25 -5.5 0.0 6.6 9.61799751487538
3.045503598070322 -9.165979372248973 0.736969070636884 4.25 -5.5 0.0 6.7 9.658688835362332
3.266636343463228 -9.121600926456672 0.7500741849103807 4.25 -5.5 0.0 6.8 9.688886234339323
3.2094064357040097 -9.177519247519273 0.7367317780705038 4.25 -5.5 0.0 6.9 9.72250735191931
3.1205596911433835 -9.221845146595994 0.7224824159557893 4.25 -5.5 0.0 7.0 9.735518511809476
2.9067947880025837 -9.303584176109815 0.696528901079144 4.25 -5.5 0.0 7.1 9.747109030965024
2.91833813165535 -9.339070853205866 0.6965654389257808 4.25 -5.5 0.0 7.2 9.784423429710767
2.683487782787992 -9.446352552751753 0.6728815429527172 4.25 -5.5 0.0 7.3 9.820116253448937
2.590997765025667 -9.50432388829679 0.6685156322530672 4.25 -5.5 0.0 7.4 9.85116449928723
2.673006754908653 -9.49798038142982 0.6824761289087182 4.25 -5.5 0.0 7.5 9.86694463538805
2.6004850455513204 -9.549395006436008 0.6837617350396062 4.25 -5.5 0.0 7.6 9.89714440942846
2.679332193500861 -9.557884188541463 0.7018368223801484 4.25 -5.5 0.0 7.7 9.926327173970291
2.4175370701591095 -9.659967571421062 0.6866295531359953 4.25 -5.5 0.0 7.8 9.957884261553756
2.4693793962566026 -9.69314814165328 0.7029381618399273 4.25 -5.5 0.0 7.9 10.002747397524995
2.2208186014159446 -9.792898996192136 0.6904760361844081 4.25 -5.5 0.0 8.0 10.041558943212753
2.334466746094219 -9.789201582961109 0.7139982904292556 4.25 -5.5 0.0 8.1 10.063707200652651
2.2308802457850856 -9.851795426096498 0.7180313644142359 4.25 -5.5 0.0 8.2 10.101222687808145
2.2591961001575496 -9.875335719741075 0.7351685412713389 4.25 -5.5 0.0 8.3 10.130460137454817
2.137136870554731 -9.941596970073999 0.7371312865236713 4.25 -5.5 0.0 8.4 10.168712028515165
2.1529361617261387 -9.975397458103409 0.7511929778271307 4.25 -5.5 0.0 8.5 10.205081506955445
1.8749410074795527 -10.064135399848293 0.7375111172122745 4.25 -5.5 0.0 8.6 10.237295791761026
1.8654421283863047 -10.104856427255735 0.749090056233529 4.25 -5.5 0.0 8.7 10.275602062643822
1.95885749582019 -10.11932315167166 0.7713580523270376 4.25 -5.5 0.0 8.8 10.307173411604609
1.773961449071882 -10.194839646929216 0.7669482460595674 4.25 -5.5 0.0 8.9 10.34802853926259
1.9675036161161332 -10.201994647279076 0.7972062505630358 4.25 -5.5 0.0 9.0 10.38998389135137
1.8309407766300119 -10.267562037585531 0.7981762440898547 4.25 -5.5 0.0 9.1 10.429533753873855
1.6958004712695496 -10.33801587246131 0.7990918616085579 4.25 -5.5 0.0 9.2 10.476178283020007
1.6809712297298356 -10.37622337342015 0.8107127382892081 4.25 -5.5 0.0 9.3 10.511502070127278
1.4698120800329884 -10.44557008160254 0.8045583161120939 4.25 -5.5 0.0 9.4 10.548472964381196
1.5802441928856321 -10.475247038298686 0.8268765189257781 4.25 -5.5 0.0 9.5 10.59377044411168
1.3547835135709785 -10.549215853246215 0.8172936900923868 4.25 -5.5 0.0 9.6 10.63585414938664
1.5275371040585282 -10.564868673614487 0.8421785007451668 4.25 -5.5 0.0 9.7 10.674728085295486
1.2670980842189727 -10.62840718551893 0.8249245512136641 4.25 -5.5 0.0 9.8 10.703671185916624
1.3400642810189483 -10.663501616052455 0.8341636116272884 4.25 -5.5 0.0 9.9 10.747373585803006
1.125331081643724 -10.742091544314153 0.816425556836525 4.25 -5.5 0.0 10.0 10.800875001116301
1.3848590901659479 -10.748730393394622 0.8386922461660398 4.25 -5.5 0.0 10.1 10.837575363959438
1.378156847705346 -10.776576369879624 0.8360273162629028 4.25 -5.5 0.0 10.2 10.86434142287166
1.405267553722792 -10.79198006362917 0.8358081593878645 4.25 -5.5 0.0 10.3 10.883088283723307
1.4448173732923113 -10.820072322132544 0.835135009156093 4.25 -5.5 0.0 10.4 10.916110218312475
1.4542294933272433 -10.85179657486796 0.8342969425471845 4.25 -5.5 0.0 10.5 10.948802323614158
1.4015135800665313 -10.893672295041544 0.8257884787721397 4.25 -5.5 0.0 10.6 10.98345739677933
1.307256488773503 -10.939533031897795 0.8123434647507846 4.25 -5.5 0.0 10.7 11.017363681181783
1.1517442267287208 -10.989353537700314 0.7926886613873677 4.25 -5.5 0.0 10.8 11.049543245780313
0.9683343599622286 -11.040110278380658 0.7734635931411451 4.25 -5.5 0.0 10.9 11.082495494765142
0.7564211842691032 -11.086081505937852 0.7512754116501239 4.25 -5.5 0.0 11.0 11.111857457882923
0.490800367100422 -11.13219356139711 0.7232942821988779 4.25 -5.5 0.0 11.1 11.143007605164646
0.5046657563735154 -11.16867633779912 0.722487616933617 4.25 -5.5 0.0 11.2 11.180072390828693
0.2662840277575893 -11.22309666680432 0.7000848860087437 4.25 -5.5 0.0 11.3 11.226255207141563
0.21621833171752528 -11.270256560677504 0.6939097963758002 4.25 -5.5 0.0 11.4 11.272330429439382
0.24190033421619445 -11.306463920286976 0.6973126370878092 4.25 -5.5 0.0 11.5 11.309051337421943
0.06759687923275941 -11.363705927377037 0.6844048034880503 4.25 -5.5 0.0 11.6 11.363906975243419
0.1504290962508502 -11.404384196933524 0.6956278207379828 4.25 -5.5 0.0 11.7 11.40537626842122
-0.13114531948479438 -11.45710605172795 0.6768381228906356 4.25 -5.5 0.0 11.8 11.457856613492943
-0.05371440422837525 -11.497159870692041 0.6903109539697171 4.25 -5.5 0.0 11.9 11.497285346092488
-0.14966775815029199 -11.54793728943444 0.6906582737078312 4.25 -5.5 0.0 12.0 11.54890713784383
-0.30314723210692185 -11.585624815197406 0.6855152987350739 4.25 -5.5 0.0 12.1 11.589590182696368
-0.03332105675304741 -11.635616838434613 0.7160648925704008 4.25 -5.5 0.0 12.2 11.635664549293532
0.018866987167015698 -11.669477008400788 0.7304191770007586 4.25 -5.5 0.0 12.3 11.669492260282766
-0.031273005452436636 -11.70024750652036 0.7371002451532809 4.25 -5.5 0.0 12.4 11.700289300470564
-0.11026403427440146 -11.733228895416024 0.7406077764186259 4.25 -5.5 0.0 12.5 11.733746991881153
